symbol,date,close
ENB,2024-12-05,61.63
ENB,2024-12-06,61.05
ENB,2024-12-09,60.05
ENB,2024-12-10,59.97
ENB,2024-12-11,59.97
ENB,2024-12-12,59.81
ENB,2024-12-13,59.69
ENB,2024-12-16,59.23
ENB,2024-12-17,59.24
ENB,2024-12-18,58.49
ENB,2024-12-19,58.56
ENB,2024-12-20,59.43
ENB,2024-12-23,60.07
ENB,2024-12-24,60.09
ENB,2024-12-27,60.3
ENB,2024-12-30,60.48
ENB,2024-12-31,61.01
FM,2024-09-03,14.63
FM,2024-09-04,14.2
FM,2024-09-05,14
FM,2024-09-06,14.13
FM,2024-09-09,14.52
FM,2024-09-10,14.85
FM,2024-09-11,15.83
FM,2024-09-12,16.6
FM,2024-09-13,16.86
FM,2024-09-16,16.77
FM,2024-09-17,17.4
FM,2024-09-18,17.36
FM,2024-09-19,17.94
FM,2024-09-20,17.84
FM,2024-09-23,17.61
FM,2024-09-24,18.55
FM,2024-09-25,18.34
FM,2024-09-26,19.25
FM,2024-09-27,18.95
FM,2024-09-30,18.44
FM,2024-10-01,18.99
FM,2024-10-02,19.14
FM,2024-10-03,18.54
FM,2024-10-04,18.77
FM,2024-10-07,18.79
FM,2024-10-08,18.13
FM,2024-10-09,17.86
FM,2024-10-10,17.71
FM,2024-10-11,18.31
FM,2024-10-15,17.47
FM,2024-10-16,17.89
FM,2024-10-17,17.46
FM,2024-10-18,18.3
FM,2024-10-21,18.01
FM,2024-10-22,18.37
FM,2024-10-23,18.61
FM,2024-10-24,18.51
FM,2024-10-25,18.91
FM,2024-10-28,18.51
FM,2024-10-29,18.35
FM,2024-10-30,18.05
FM,2024-10-31,17.99
FM,2024-11-01,18.21
FM,2024-11-04,18.26
FM,2024-11-05,18.67
FM,2024-11-06,18.76
FM,2024-11-07,20.49
FM,2024-11-08,19.09
FM,2024-11-11,18.95
FM,2024-11-12,18.88
FM,2024-11-13,17.94
FM,2024-11-14,17.99
FM,2024-11-15,17.6
FM,2024-11-18,18.08
FM,2024-11-19,18.37
FM,2024-11-20,18.51
FM,2024-11-21,19.07
FM,2024-11-22,19.28
FM,2024-11-25,18.91
FM,2024-11-26,18.69
FM,2024-11-27,19.04
FM,2024-11-28,18.8
FM,2024-11-29,19.13
FM,2024-12-02,19.16
FM,2024-12-03,19.41
FM,2024-12-04,19.68
FM,2024-12-05,20.7
FM,2024-12-06,20.39
FM,2024-12-09,20.49
FM,2024-12-10,20.31
FM,2024-12-11,20.26
FM,2024-12-12,19.46
FM,2024-12-13,19.4
FM,2024-12-16,18.6
FM,2024-12-17,18.81
FM,2024-12-18,17.77
FM,2024-12-19,17.41
FM,2024-12-20,18.81
FM,2024-12-23,19.05
FM,2024-12-24,19
FM,2024-12-27,19.02
FM,2024-12-30,18.64
FM,2024-12-31,18.53
FNV,2024-09-03,161.27
FNV,2024-09-04,160.89
FNV,2024-09-05,161.35
FNV,2024-09-06,159.99
FNV,2024-09-09,163.35
FNV,2024-09-10,165.16
FNV,2024-09-11,164.71
FNV,2024-09-12,169.74
FNV,2024-09-13,170.05
FNV,2024-09-16,169.79
FNV,2024-09-17,169.45
FNV,2024-09-18,168.82
FNV,2024-09-19,171.12
FNV,2024-09-20,173.65
FNV,2024-09-23,170.95
FNV,2024-09-24,172.12
FNV,2024-09-25,175
FNV,2024-09-26,173.43
FNV,2024-09-27,169.64
FNV,2024-09-30,167.98
FNV,2024-10-01,168.8
FNV,2024-10-02,168.33
FNV,2024-10-03,165
FNV,2024-10-04,163.99
FNV,2024-10-07,164.04
FNV,2024-10-08,164.5
FNV,2024-10-09,165.75
FNV,2024-10-10,168.95
FNV,2024-10-11,169.99
FNV,2024-10-15,171.21
FNV,2024-10-16,172.47
FNV,2024-10-17,175.53
FNV,2024-10-18,182.46
FNV,2024-10-21,183.59
FNV,2024-10-22,187.92
FNV,2024-10-23,188.51
FNV,2024-10-24,188.11
FNV,2024-10-25,188.5
FNV,2024-10-28,188.95
FNV,2024-10-29,191.03
FNV,2024-10-30,189.43
FNV,2024-10-31,184.82
FNV,2024-11-01,183.87
FNV,2024-11-04,183.49
FNV,2024-11-05,185.27
FNV,2024-11-06,184.23
FNV,2024-11-07,175.22
FNV,2024-11-08,170.39
FNV,2024-11-11,164.07
FNV,2024-11-12,160.23
FNV,2024-11-13,158.58
FNV,2024-11-14,161.97
FNV,2024-11-15,160.51
FNV,2024-11-18,166.01
FNV,2024-11-19,169.42
FNV,2024-11-20,169.82
FNV,2024-11-21,172.15
FNV,2024-11-22,172.86
FNV,2024-11-25,168.84
FNV,2024-11-26,172.42
FNV,2024-11-27,172.37
FNV,2024-11-28,172.21
FNV,2024-11-29,171.44
FNV,2024-12-02,170.53
FNV,2024-12-03,172.5
FNV,2024-12-04,172.04
FNV,2024-12-05,173.19
FNV,2024-12-06,170.63
FNV,2024-12-09,173.1
FNV,2024-12-10,172.92
FNV,2024-12-11,176.17
FNV,2024-12-12,173.02
